a			ʌ
acosta			ʌkɔˈstʌ
acott			ejˈkɔt
acoustic		ʌkuˈstɪk
acoustical		ʌkuˈstɪkʌl
acoustically		ʌkuˈstɪkli
acoustics		ʌkuˈstɪks
acquaint		ʌkwejˈnt
acquaintance		ʌkwejˈntʌns
acquaintances		ʌkwejˈntʌnsɪz
acquaintanceship	ʌkwejˈntʌnsʃɪp
acquainted		ʌkwejˈntɪd
acquainted(1)		ʌkwejˈnɪd
acquaviva		ɑkwɑviˈvʌ
acquiesce		æˌkwiɛˈs
acquiesced		æˌkwiɛˈst
acquiescence		æˌkwiɛˈsʌns
acquiescing		æˌkwiɛˈsɪŋ
acquire		ʌkwajˈɜɹ
acquired		ʌkwajˈɜɹd
acquirer		ʌkwajˈɜɹɜɹ
acquirer's		ʌkwajˈɜɹɜɹz
acquirers		ʌkwajˈɜɹɜɹz
acquires		ʌkwajˈɜɹz
acquiring		ʌkwajˈɹɪŋ
acquiring(1)		ʌkwajˈɜɹɪŋ
acquisition		æˌkwʌzɪˈʃʌn
acquisition's		æˌkwʌzɪˈʃʌnz
acquisitions		æˌkwʌzɪˈʃʌnz
acquisitive		ʌkwɪˈzʌtɪv
acquit			ʌkwɪˈt
acquitaine		æˈkwɪtejˌn
acquits		ʌkwɪˈts
acquittal		ʌkwɪˈtʌl
acquittals		ʌkwɪˈtʌlz
acquitted		ʌkwɪˈtʌd
acquitted(1)		ʌkwɪˈtɪd
acquitting		ʌkwɪˈtɪŋ
acre			ejˈkɜɹ
acreage		ejˈkɜɹɪdʒ
acreage(1)		ejˈkɹʌdʒ
acree			ʌkɹiˈ
acres			ejˈkɜɹz
acrey			æˈkɹi
acri			ɑˈkɹi
acrid			æˈkɹɪd
acrimonious		æˌkɹʌmowˈniʌs
acrimony		æˈkɹɪmowˌni
acro			æˈkɹow
acrobat		æˈkɹʌbæˌt
acrobatic		æˌkɹʌbæˈtɪk
acrobatics		æˌkɹʌbæˈtɪks
acrobats		æˈkɹʌbæˌts
acrolein		æˈkɹowliˌn
acronym		æˈkɹʌnɪm
acronyms		æˈkɹʌnɪmz
acropolis		ʌkɹɑˈpʌlʌs
across			ʌkɹɔˈs
acrylic		ʌkɹɪˈlɪk
acrylics		ʌkɹɪˈlɪks
act			æˈkt
act's			æˈkts
actava			æˌktɑˈvʌ
actava's		æˌktɑˈvʌz
actavas		æˌktɑˈvʌz
acted			æˈktʌd
acted(1)		æˈktɪd
actel			æˈktɛl
actigall		æˈktɪgɔl
actin			æˈktʌn
acting			æˈktɪŋ
actinide		æˈktɪnajˌd
actinidia		æˌktɪnɪˈdiʌ
actinomycosis		æktɪˈnowmajˈkowˈsɪs
action			æˈkʃʌn
action's		æˈkʃʌnz
actionable		æˈkʃʌnʌbʌl
actions		æˈkʃʌnz
activase		æˈktɪvejˌz
activate		æˈktʌvejˌt
activated		æˈktʌvejˌtʌd
activated(1)		æˈktɪvejˌtɪd
activates		æˈktʌvejˌts
activating		æˈktʌvejˌtɪŋ
activation		æˌktʌvejˈʃʌn
activator		æˈktʌvejˌtɜɹ
active			æˈktɪv
active's		æˈktɪvz
actively		æˈktɪvli
actives		æˈktɪvz
activision		æˈktɪvɪˌʒʌn
activism		æˈktɪvɪˌzʌm
activist		æˈktʌvʌst
activist(1)		æˈktɪvɪst
activists		æˈktʌvʌsts
activists(1)		æˈktɪvɪsts
activists(2)		æˈktʌvʌs
activists(3)		æˈktɪvɪs
activists'		æˈktɪvɪsts
activists'(1)		æˈktɪvɪs
activities		æktɪˈvʌtiz
activities(1)		æktɪˈvɪtiz
activity		æktɪˈvʌti
activity(1)		æktɪˈvɪti
actmedia		æktmiˈdiʌ
actodine		æˈktowdajˌn
acton			æˈktʌn
actor			æˈktɜɹ
actor's		æˈktɜɹz
actors			æˈktɜɹz
actors'		æˈktɜɹz
actress		æˈktɹʌs
actress's		æˈktɹʌsɪz
actresses		æˈktɹʌsɪz
acts			æˈkts
acts(1)		æˈks
actual			æˈktʃʌwʌl
actual(1)		æˈkʃʌl
actuality		æˌktʃuæˈlʌtiˌ
actualize		æˈktʃuˌʌlajˌz
actually		æˈktʃuˌʌli
actually(1)		æˈktʃli
actually(2)		æˈkʃʌli
actuarial		æˌktʃuˌɛˈɹiʌl
actuaries		æˈktʃuˌɛˈɹiˌz
actuary		æˈktʃuɛˈɹiˌ
actuate		æˈktʃuˌejˈt
actuator		æˈktjuejˌtɜɹ
actuator(1)		æˈktʃuejˌtɜɹ
actuators		æˈktjuejˌtɜɹz
actuators(1)		æˈktʃuejˌtɜɹz
actus			æˈktʌs
acuff			ʌkʌˈf
acuity			ʌkjuˈʌti
acumen			ʌkjuˈmʌn
acuna			ɑkuˈnʌ
acupuncture		æˈkjupʌˌŋktʃɜɹ
acura			æˈkjɜɹʌ
acura's		æˈkjɜɹʌz
acuras			æˈkjɜɹʌz
acuson			æˌkjuˈsʌn
acustar		æˈkjustɑˌɹ
acusyst		æˈkjusɪst
acute			ʌkjuˈt
acutely		ʌkjuˈtli
acuteness		ʌkjuˈtnʌs
acyclovir		ʌsɪˈklowvɪˌɹ
ad			æˈd
ad's			æˈdz
ad-hoc			æˈdhɑˈk
ad-lib			æˈdlɪˈb
ad-nauseum		æˈdnɔˈziʌm
ada			ejˈdʌ
ada's			ejˈdʌz
adabel			æˈdʌbɛl
adabelle		æˈdʌbʌl
adachi			ɑdɑˈki
adage			æˈdʌdʒ
adage(1)		æˈdɪdʒ
adagio			ʌdɑˈʒiowˌ
adah			æˈdɑ
adair			ʌdɛˈɹ
adaire			ɑdɛˈɹ
adak			ʌdæˈk
adalah			ɑdɑˈlʌ
adalia			ɑdɑˈliʌ
adam			æˈdʌm
adam's			æˈdʌmz
adamant		æˈdʌmʌnt
adamantly		æˈdʌmʌntli
adamcik		ɑˈdʌmtʃɪk
adamczak		ɑˈdʌmtʃæk
adamczyk		ɑˈdʌmtʃɪk
adame			ɑdɑˈmi
adamec			ʌdɑˈmɪk
adamek			ʌdɑˈmɛk
adames			ʌdejˈmz
adami			ɑdɑˈmi
adamik			ʌdɑˈmɪk
adamina		ɑdɑmiˈnʌ
adamkus		æˈdʌmkʌs
adamo			ɑdɑˈmow
adamowicz		ʌdɑˈmʌvɪtʃ
adams			æˈdʌmz
adams'			æˈdʌmz
adams's		æˈdʌmzɪz
adamski		ʌdæˈmskiˌ
adamson		æˈdʌmsʌn
adamstown		æˈdʌmstawˌn
adan			ejˈdʌn
adapso			ʌdæˈpsow
adapt			ʌdæˈpt
adaptability		ʌdæˌptʌbɪˈlʌti
adaptable		ʌdæˈptʌbʌl
adaptaplex		ʌdæˈptʌplɛˌks
adaptation		æˌdʌptejˈʃʌn
adaptations		æˌdæptejˈʃʌnz
adaptations(1)		æˌdʌptejˈʃʌnz
adaptec		ʌdæˈptɛˌk
adaptec's		ʌdæˈptɛˌks
adapted		ʌdæˈptʌd
adapted(1)		ʌdæˈptɪd
adapter		ʌdæˈptɜɹ
adapters		ʌdæˈptɜɹz
adapting		ʌdæˈptɪŋ
adaptive		ʌdæˈptɪv
adaptor		ʌdæˈptɜɹ
adaptors		ʌdæˈptɜɹz
adapts			ʌdæˈpts
adar			ʌdɑˈɹ
adarand		æˈdʌɹæˌnd
adas			ejˈdʌz
aday			ʌdejˈ
adaza			ʌdɑˈzʌ
adcock			ʌdkɑˈk
adcox			ʌdkɑˈks
add			æˈd
addair			ʌdɛˈɹ
addams			æˈdʌmz
added			æˈdʌd
added(1)		æˈdɪd
addendum		ʌdɛˈdʌm
addendums		ʌdɛˈdʌmz
addeo			ɑˈdiow
adder			æˈdɜɹ
adderley		ʌdɜɹˈli
addicks		æˈdɪks
addict			ʌdɪˈkt
addict(1)		æˈdɪˌkt
addicted		ʌdɪˈktʌd
addicted(1)		ʌdɪˈktɪd
addicting		ʌdɪˈktɪŋ
addiction		ʌdɪˈkʃʌn
addictions		ʌdɪˈkʃʌnz
addictive		ʌdɪˈktɪv
addicts		ʌdɪˈkts
addicts(1)		æˈdɪˌkts
addidas		ʌdiˈdʌs
addidas'		ʌdiˈdʌs
addidas's		ʌdiˈdʌsɪz
addidases		ʌdiˈdʌsɪz
addie			æˈdi
adding			æˈdɪŋ
addington		æˈdɪŋtʌn
addis			ɑˈdɪs
addis-ababa		ɑˈdɪsʌbɑˈbʌ
addis-ababa(1)		ɑˈdisʌbɑˈbʌ
addison		æˈdʌsʌn
addison(1)		æˈdɪsʌn
addison's		æˈdɪsʌnz
addition		ʌdɪˈʃʌn
additional		ʌdɪˈʃʌnʌl
additional(1)		ʌdɪˈʃnʌl
additionally		ʌdɪˈʃʌnʌli
additionally(1)	ʌdɪˈʃnʌli
additions		ʌdɪˈʃʌnz
additive		æˈdʌtɪv
additive(1)		æˈdɪtɪv
additives		æˈdʌtɪvz
additives(1)		æˈdɪtɪvz
addle			æˈdʌl
addled			æˈdʌld
addleman		æˈdʌlmʌn
address		æˈdɹɛˌs
address(1)		ʌdɹɛˈs
addressable		ʌdɹɛˈsʌbʌl
addressed		ʌdɹɛˈst
addressee		æˌdɹɛsiˈ
addresses		æˈdɹɛˈsɪz
addresses(1)		ʌdɹɛˈsɪz
addressing		ʌdɹɛˈsɪŋ
adds			æˈdz
adduci			ɑduˈtʃi
adduct			æˈdʌkt
addwest		æˌdwɛˈst
addy			æˈdi
addyston		æˈdistʌn
ade			ejˈd
adee			ʌdiˈ
adel			ʌdɛˈl
adela			ʌdɛˈlʌ
adelaar		æˈdʌlɑˌɹ
adelaide		æˈdʌlejˌd
adelanto		ædʌlɑˈntow
adelbert		ʌdɛˈlbɜɹt
adele			ʌdɛˈl
adele's		ʌdɛˈlz
adeline		æˈdʌlajˌn
adelizzi		æˌdʌliˈzi
adell			ʌdɛˈl
adell's		ʌdɛˈlz
adelle			ʌdɛˈl
adelman		æˈdʌlmʌn
adelman(1)		ɛˈdʌlmʌn
adelmann		æˈdʌlmʌn
adelpha		ʌdɛˈlfʌ
adelphi		ʌdɛˈlfi
adelphia		ʌdɛˈlfiʌ
adelphia's		ʌdɛˈlfiʌz
adelsberger		æˈdɪlzbɜɹgɜɹ
adelson		æˈdʌlsʌn
adelstein		æˈdʌlstajn
adelstein(1)		æˈdʌlstin
aden			ejˈdʌn
adena			æˈdɪnʌ
adenauer		ejˈdʌnawˌɹ
adenauer(1)		æˈdʌnawˌɹ
adenine		æˈdʌniˌn
adenoid		æˈdʌnɔjˌd
adenoids		æˈdʌnɔjˌdz
adenoscan		ʌdɛˈnʌskæˌn
adenosine		ʌdɛˈnʌsiˌn
adenovirus		ʌdɛˈnʌvajˌɹʌs
adept			ʌdɛˈpt
adequacy		æˈdʌkwʌsi
adequate		æˈdʌkwʌt
adequate(1)		æˈdʌkwejˌt
adequately		æˈdʌkwʌtli
adequately(1)		æˈdʌkwɪtli
ader			ejˈdɜɹ
aderhold		æˈdɜɹhowld
aderholt		æˈdɜɹhowlt
aderman		æˈdɜɹmʌn
ades			ejˈdz
adey			ejˈdi
adger			æˈdʒɜɹ
adham			æˈdhæm
adhere			ʌdhɪˈɹ
adhered		ædhɪˈɹd
adherence		ʌdhɪˈɹʌns
adherent		ʌdhɪˈɹʌnt
adherents		ædhɪˈɹʌnts
adheres		ʌdhɪˈɹz
adhering		ʌdhɪˈɹɪŋ
adhesion		ædhiˈʒʌn
adhesive		ædhiˈsɪv
adhesive(1)		ʌdhiˈsɪv
adhesives		ædhiˈsɪvz
adhesives(1)		ʌdhiˈsɪvz
adia			ɑˈdiʌ
adid			ʌdɪˈd
adidas			ʌdiˈdʌs
adidas's		ʌdiˈdʌsɪz
adieu			ʌduˈ
adin			ʌdɪˈn
adina			ɑdiˈnʌ
adine			ɑdiˈni
adinolfi		ɑdinowˈlfi
adios			ɑˌdiowˈs
adipose		æˈdʌpowˌs
adirondack		æˌdɜɹɑˈndæk
adisq			ʌdɪˈsk
adisq(1)		ejˈdɪsk
adjacent		ʌdʒejˈsʌnt
adjani			æddʒɑˈni
adjective		æˈdʒɪktɪv
adjectives		æˈdʒɪktɪvz
adjoin			ʌdʒɔjˈn
adjoining		ʌdʒɔjˈnɪŋ
adjoins		ʌdʒɔjˈnz
adjourn		ʌdʒɜɹˈn
adjourned		ʌdʒɜɹˈnd
adjourning		ʌdʒɜɹˈnɪŋ
adjournment		ʌdʒɜɹˈnmʌnt
adjourns		ʌdʒɜɹˈnz
adjudge		ʌdʒʌˈdʒ
adjudged		ʌdʒʌˈdʒd
adjudicate		ʌdʒuˈdɪkejˌt
adjudicated		ʌdʒuˈdʌkejˌtɪd
adjudicating		ʌdʒuˈdɪkejˌtɪŋ
adjudication		ʌdʒuˌdʌkejˈʃʌn
adjunct		æˈdʒʌˌŋkt
adjuncts		æˈdʒʌˌŋkts
adjust			ʌdʒʌˈst
adjustable		ʌdʒʌˈstʌbʌl
adjustables		ʌdʒʌˈstʌbʌlz
adjusted		ʌdʒʌˈstʌd
adjusted(1)		ʌdʒʌˈstɪd
adjuster		ʌdʒʌˈstɜɹ
adjusters		ʌdʒʌˈstɜɹz
adjusting		ʌdʒʌˈstɪŋ
adjustment		ʌdʒʌˈstmʌnt
adjustments		ʌdʒʌˈstmʌnts
adjusts		ʌdʒʌˈsts
adjusts(1)		ʌdʒʌˈs
adjutant		æˈdʒʌtʌnt
adkins			æˈdkɪnz
adkinson		æˈdkɪnsʌn
adkison		æˈdkɪsʌn
adkisson		æˈdkɪsʌn
adl-tabataba		ɑˌdʌltɑˌbʌtɑˈbʌ
adl-tabatabai		ɑˌdʌltɑˌbʌtʌˌbajˈ
adlai			ɑdlɑˈi
adler			æˈdlɜɹ
adler's		æˈdlɜɹz
adlers			æˈdlɜɹz
adley			æˈdli
adlon			æˈdlɑn
adlong			æˈdlɔŋ
adman			æˈdmʌn
admen			æˈdmʌn
administer		ʌdmɪˈnʌstɜɹ
administered		ʌdmɪˈnʌstɜɹd
administering		ædmɪˈnɪstɜɹɪŋ
administers		ædmɪˈnɪstɜɹz
administrate		ædmɪˈnɪstɹejˌt
administrating		ʌdmɪˈnʌstɹejˌtɪŋ
administration		ædmɪˌnɪstɹejˈʃʌn
administration's	ædmɪˌnɪstɹejˈʃʌnz
administrations	ædmɪˌnɪstɹejˈʃʌnz
administrations'	ædmɪˌnɪstɹejˈʃʌnz
administrative		ʌdmɪˈnʌstɹejˌtɪv
administratively	ædmɪˌnʌstɹejˈtɪvli
administrator		ʌdmɪˈnʌstɹejˌtɜɹ
administrator's	ædmɪˈnɪstɹejˌtɜɹz
administrators		ædmɪˈnɪstɹejˌtɜɹz
administrators'	ædmɪˈnʌstɹejˌtɜɹz
admira			ædmajˈɹʌ
admira's		ædmajˈɹʌz
admirable		æˈdmɜɹʌbʌl
admirable(1)		æˈdmɹʌbʌl
admirably		æˈdmɜɹʌbli
admiral		æˈdmɜɹʌl
admiral's		æˈdmɜɹʌlz
admirals		æˈdmɜɹʌlz
admiralty		æˈdmɜɹʌlti
admiration		æˌdmɜɹejˈʃʌn
admirations		æˌdmɜɹejˈʃʌnz
admire			ædmajˈɹ
admired		ʌdmajˈɜɹd
admirer		ædmajˈɹɜɹ
admirers		ʌdmajˈɹɜɹz
admires		ædmajˈɹz
admiring		ædmajˈɹɪŋ
admiringly		ædmajˈɹɪŋli
admissibility		ʌdmɪˌsʌbɪˈlʌti
admissible		ʌdmɪˈsʌbʌl
admission		ædmɪˈʃʌn
admission(1)		ʌdmɪˈʃʌn
admissions		ædmɪˈʃʌnz
admissions(1)		ʌdmɪˈʃʌnz
admit			ʌdmɪˈt
admits			ʌdmɪˈts
admittance		ʌdmɪˈtʌns
admitted		ʌdmɪˈtʌd
admittedly		ædmɪˈtɪdli
admitting		ædmɪˈtɪŋ
admitting(1)		ʌdmɪˈtɪŋ
admonish		ædmɑˈnɪʃ
admonished		ʌdmɑˈnɪʃt
admonishes		ædmɑˈnɪʃɪz
admonishing		ædmɑˈnɪʃɪŋ
admonishment		ædmɑˈnɪʃmɛnt
admonition		æˌdmʌnɪˈʃʌn
admonitions		æˌdmʌnɪˈʃʌnz
adnan			æˈdnʌn
adney			æˈdni
ado			ʌduˈ
adobe			ʌdowˈbi
adobe's		ʌdowˈbiz
adolescence		æˌdʌlɛˈsʌns
adolescence(1)		æˌdowlɛˈsʌns
adolescent		æˌdʌlɛˈsʌnt
adolescent(1)		æˌdowlɛˈsʌnt
adolescents		æˌdʌlɛˈsʌnts
adolescents(1)		æˌdowlɛˈsʌnts
adolf			ejˈdɑlf
adolf's		ejˈdɑlfs
adolfo			ʌdɑˈlfowˌ
adolph			ejˈdɔlf
adolpha		ɑdowˈlfʌ
adolphson		æˈdowlfsʌn
adolphus		ʌdɔˈlfʌs
adon			ɑdɔˈn
adonia			ɑdowˈniʌ
adonis			ʌdɑˈnʌs
adopt			ʌdɑˈpt
adoptable		ʌdɑˈptʌbʌl
adopted		ʌdɑˈptʌd
adoptee		ʌdɑˈptiˈ
adoptees		ʌdɑˈptiˈz
adopter		ʌdɑˈptɜɹ
adopters		ʌdɑˈptɜɹz
adopting		ʌdɑˈptɪŋ
adoption		ʌdɑˈpʃʌn
adoptions		ʌdɑˈpʃʌnz
adoptive		ʌdɑˈptɪv
adopts			ʌdɑˈpts
ador			ɑdɔˈɹ
adora			ɑdɔˈɹʌ
adorabelle		æˈdɜɹʌbʌl
adorable		ʌdɔˈɹʌbʌl
adoration		æˌdɜɹejˈʃʌn
adore			ʌdɔˈɹ
adored			ʌdɔˈɹd
adoree			ædɜɹiˈ
adorees		ædɜɹiˈz
adores			ʌdɔˈɹz
adoring		ʌdɔˈɹɪŋ
adorn			ʌdɔˈɹn
adorna			ɑdɔˈɹnʌ
adorned		ʌdɔˈɹnd
adorning		ʌdɔˈɹnɪŋ
adornment		ʌdɔˈɹnmʌnt
adorno			ɑdɔˈɹnow
adorns			ʌdɔˈɹnz
adra			ejˈdɹʌ
adragna		ɑdɹɑˈgnʌ
adrda			ejˈdɜɹdʌ
adrea			ɑˈdɹiʌ
adrenal		ʌdɹiˈnʌl
adrenalin		ʌdɹɛˈnʌlɪn
adrenaline		ʌdɹɛˈnʌlʌn
adria			ɑˈdɹiʌ
adrian			ejˈdɹiʌn
adriana		ejˌdɹiæˈnʌ
adriance		ɑdɹiˈʌns
adriano		ɑdɹiɑˈnow
adriatic		ejˌdɹiæˈtɪk
adriel			ʌdɹiˈl
adrienne		ɑdɹiɛˈn
adrift			ʌdɹɪˈft
adroit			ʌdɹɔjˈt
adroitly		ʌdɹɔjˈtli
ads			æˈdz
ads'			æˈdz
adsit			æˈdsɪt
adss			æˈds
adss(1)		ejˈdiˈɛˈsɛˈs
adstar			æˈdstɑɹ
adsteam		æˈdstim
adtec			æˈdtɛˌk
adulate		æˈdʒʌlejˌt
adulation		æˌdʒʌlejˈʃʌn
aduliadae		ʌduˌliɑˈdej
adult			ʌdʌˈlt
adult(1)		æˈdʌlt
adulterate		ʌdʌˈltɜɹejˌt
adulterated		ʌdʌˈltɜɹejˌtɪd
adulterates		ʌdʌˈltɜɹejˌts
adulteration		ʌdʌˌltɜɹejˈʃʌn
adulterer		ʌdʌˈltɜɹɜɹ
adulterers		ʌdʌˈltɜɹɜɹz
adulterous		ʌdʌˈltɜɹʌs
adultery		ʌdʌˈltɜɹi
adulthood		ʌdʌˈlthʊˌd
adults			ʌdʌˈlts
adults(1)		æˈdʌlts
adults'		ʌdʌˈlts
adults'(1)		æˈdʌlts
adusdur		æˈdʌsdɜɹ
advacare		æˈdvʌkɛˌɹ
advalue		æˈdvʌluˌ
advance		ʌdvæˈns
advance's		ʌdvæˈnsʌz
advance's(1)		ʌdvæˈnsɪz
advanced		ʌdvæˈnst
advancement		ʌdvæˈnsmʌnt
advancements		ʌdvæˈnsmʌnts
advancer		ʌdvæˈnsɜɹ
advancers		ʌdvæˈnsɜɹz
advances		ʌdvæˈnsʌz
advances(1)		ʌdvæˈnsɪz
advancing		ʌdvæˈnsɪŋ
advani			ædvɑˈni
advanta		ædvæˈntʌ
advanta(1)		ʌdvæˈntʌ
advanta's		ædvæˈntʌz
advanta's(1)		ʌdvæˈntʌz
advantage		ædvæˈntɪdʒ
advantage(1)		ʌdvæˈntɪdʒ
advantage(2)		ædvæˈnɪdʒ
advantage(3)		ʌdvæˈnʌdʒ
advantaged		ædvæˈntɪdʒd
advantaged(1)		ʌdvæˈntɪdʒd
advantaged(2)		ædvæˈnɪdʒd
advantaged(3)		ʌdvæˈnɪdʒd
advantageous		æˌdvʌntejˈdʒʌs
advantages		ædvæˈntɪdʒɪz
advantages(1)		ʌdvæˈntɪdʒɪz
advantages(2)		ædvæˈnɪdʒɪz
advantages(3)		ʌdvæˈnɪdʒɪz
advantest		ædvæˈntʌst
advantest(1)		ʌdvæˈntʌst
advection		ædvɛˈkʃʌn
advent			æˈdvɛˌnt
adventist		æˈdvɛˌntɪst
adventists		æˈdvɛˌntɪsts
adventists(1)		æˈdvɛˌntɪs
adventure		ædvɛˈntʃɜɹ
adventure(1)		ʌdvɛˈntʃɜɹ
adventurer		ædvɛˈntʃɜɹɜɹ
adventurer(1)		ʌdvɛˈntʃɜɹɜɹ
adventurers		ædvɛˈntʃɜɹɜɹz
adventurers(1)		ʌdvɛˈntʃɜɹɜɹz
adventures		ædvɛˈntʃɜɹz
adventures(1)		ʌdvɛˈntʃɜɹz
adventuresome		ædvɛˈntʃɜɹsʌm
adventuresome(1)	ʌdvɛˈntʃɜɹsʌm
adventurism		ædvɛˈntʃɜɹɪˌzʌm
adventurism(1)		ʌdvɛˈntʃɜɹɪˌzʌm
adventurous		ædvɛˈntʃɜɹʌs
adventurous(1)		ʌdvɛˈntʃɜɹʌs
adverb			æˈdvɜɹb
adverbial		ædvɜɹˈbiʌl
adverbs		æˈdvɜɹbz
adversarial		æˌdvɜɹsɛˈɹiʌl
adversaries		æˈdvɜɹsɛˌɹiz
adversary		æˈdvɜɹsɛˌɹi
adverse		ædvɜɹˈs
adverse(1)		æˈdvɜɹˌs
adverse(2)		ʌdvɜɹˈs
adversely		ædvɜɹˈsli
adversity		ædvɜɹˈsɪti
adversity(1)		ʌdvɜɹˈsɪti
advertise		æˈdvɜɹtajˌz
advertised		æˈdvɜɹtajˌzd
advertised(1)		æˌdvɜɹtajˈzd
advertisement		ʌdvɜɹˈtʌzmʌnt
advertisement(1)	æˌdvɜɹtajˈzmʌnt
advertisements		æˈdvɜɹtajˌzmʌnts
advertiser		æˈdvɜɹtajˌzɜɹ
advertiser's		æˈdvɜɹtajˌzɜɹz
advertisers		æˈdvɜɹtajˌzɜɹz
advertisers'		æˈdvɜɹˌtajˌzɜɹz
advertises		æˈdvɜɹtajˌzɪz
advertising		æˈdvɜɹtajˌzɪŋ
advertising's		æˈdvɜɹtajˌzɪŋz
advertorial		æˌdvɜɹtɔˈɹiʌl
advertorials		æˌdvɜɹtɔˈɹiʌlz
advest			æˈdvɛst
advice			ædvajˈs
advice(1)		ʌdvajˈs
advil			æˈdvɪˌl
advil's		æˈdvɪˌlz
advisability		æˌdvajˌzʌbɪˈlɪti
advisable		ʌdvajˈzʌbʌl
advise			ædvajˈz
advise(1)		ʌdvajˈz
advised		ædvajˈzd
advised(1)		ʌdvajˈzd
advisedly		ædvajˈzʌdli
advisedly(1)		ʌdvajˈzʌdli
advisement		ʌdvajˈzmʌnt
adviser		ædvajˈzɜɹ
adviser's		ʌdvajˈzɜɹz
advisers		ædvajˈzɜɹz
advisers'		æˌdvajˈzɜɹz
advises		ædvajˈzɪz
advising		ædvajˈzɪŋ
advisor		ædvajˈzɜɹ
advisor(1)		ʌdvajˈzɜɹ
advisories		ʌdvajˈzɜɹiz
advisors		ædvajˈzɜɹz
advisors(1)		ʌdvajˈzɜɹz
advisory		ædvajˈzɜɹi
advisory(1)		ʌdvajˈzɜɹi
advo			æˈdvow
advocacy		æˈdvʌkʌsi
advocate		æˈdvʌkʌt
advocate(1)		æˈdvʌkejˌt
advocate's		æˈdvʌkʌts
advocated		æˈdvʌkejˌtʌd
advocated(1)		æˈdvʌkejˌtɪd
advocates		æˈdvʌkʌts
advocates(1)		æˈdvʌkejˌts
advocating		æˈdvʌkejˌtɪŋ
advocation		æˌdvʌkejˈʃʌn
adweek			æˈdwik
adwell			ʌdwɛˈl
ady			ejˈdi
adz			æˈdz
ae			ejˈ
aegean			ɪdʒiˈʌn
aegerter		ɛˈgɜɹtɜɹ
aegis			iˈdʒʌs
aegon			ejˈgɑn
aeltus			æˈltʌs
aeneas			æˈniʌs
aeneid			ʌniˈɪd
aequitron		ejˈkwɪtɹɑn
aer			ɛˈɹ
aer(1)			ejˈiˈɑˈɹ
aerial			ɛˈɹiʌl
aerials		ɛˈɹiʌlz
aerie			ɛˈɹi
aerien			ɛˈɹiʌn
aeriens		ɛˈɹiʌnz
aeritalia		ɛˌɹɪtæˈljʌ
aero			ɛˈɹow
aerobatic		ɛˌɹʌbæˈtɪk
aerobatics		ɛˌɹʌbæˈtɪks
aerobic		ɛɹowˈbɪk
aerobically		ɛɹowˈbɪkli
aerobics		ɜɹowˈbɪks
aerodrome		ɛˈɹʌdɹowˌm
aerodromes		ɛˈɹʌdɹowˌmz
aerodynamic		ɛˌɹowdajnæˈmɪk
aerodynamically	ɛˌɹowdajnæˈmɪkli
aerodynamicist		ɛˌɹowdajnæˈmɪsɪst
aerodynamicists	ɛˌɹowdajnæˈmɪsɪsts
aerodynamicists(1)	ɛˌɹowdajnæˈmɪsɪs
aerodynamics		ɛˌɹowdajnæˈmɪks
aerodyne		ɛˈɹʌdajˌn
aerodyne's		ɛˈɹʌdajˌnz
aeroflot		ɛˈɹowflɑˌt
aeroflot's		ɛˈɹowflɑˌts
aerogenosa		ɛˈɹʌdʒʌnowˌsʌ
aerojet		ɛˈɹowdʒɛˌt
aerojets		ɛˈɹowdʒɛˌts
aerolift		ɛˈɹowlɪˌft
aerolifts		ɛˈɹowlɪˌfts
aerolineas		ɛˌɹowlɪˈniʌs
aeromar		ɛˈɹʌmɑɹ
aeromar(1)		ɛˈɹowmɑɹ
aeromexico		ɛˌɹowmɛˈksɪkowˌ
aeromexico's		ɛˌɹowmɛˈksɪkowˌz
aeronautic		ɛˌɹownɑˈtʌk
aeronautical		ɛˌɹownɑˈtʌkʌl
aeronautical(1)	ɛˌɹʌnɑˈtʌkʌl
aeronauticas		ɛˌɹownɔˈtɪkʌs
aeronautics		ɛˌɹʌnɔˈtɪks
aeroperu		ɛˌɹowpejɹuˈ
aeroperu's		ɛˌɹowpejɹuˈz
aeroquip		ɛˈɹʌkwɪˌp
aerosmith		ɛˈɹowsmɪˌθ
aerosmith's		ɛˈɹowsmɪˌθs
aerosol		ɛˈɹʌsɑˌl
aerosols		ɛˈɹʌsɑˌlz
aerospace		ɛˈɹowspejˌs
aerospace's		ɛˈɹowspejˌsɪz
aerospatiale		ɛˌɹowspɑˌsiɑˈl
aerospatiale's		ɛˌɹowspɑˌsiɑˈlz
aerostar		ɛˈɹowstɑˌɹ
aerostar's		ɛˈɹowstɑˌɹz
aerostars		ɛˈɹowstɑˌɹz
aerostat		ɛˈɹowstæˌt
aerostat's		ɛˈɹowstæˌts
aerostats		ɛˈɹowstæˌts
aerotech		ɛˈɹowtɛˌk
aerovias		ɛɹowviˈʌz
aerts			ɛˈɹts
aeschelus		ɛˈskʌlʌs
aeschliman		ɛˈʃlimʌn
aesop			iˈsɑˌp
aesop's		iˈsɑˌps
aesthenopia		æsθʌnɔˈpjʌ
aesthete		ɛˈsθit
aesthete's		ɛˈsθits
aesthetes		ɛˈsθits
aesthetic		ɛsθɛˈtɪk
aesthetically		ɛsθɛˈtɪkli
aesthetics		ɛsθɛˈtɪks
aetna			ɛˈtnʌ
aetna's		ɛˈtnʌz
afanasyev		æˌfʌnejˈsiɛv
afar			ʌfɑˈɹ
